Region,ItemType,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price
Middle East and North Africa,,Online,C,10/8/2014,535113847,10/23/2014,934,152.58
Central America and the Caribbean,,Offline,L,2/22/2015,874708545,2/27/2015,4551,437.2
Sub-Saharan Africa,Fruits,Offline,M,12/9/2015,854349935,1/18/2016,9986,9.33
Sub-Saharan Africa,Personal Care,Online,M,9/17/2014,892836844,10/12/2014,9118,81.73
,Household,Offline,H,2/4/2010,129280602,3/5/2010,5858,668.27
,Clothes,Online,C,2/20/2013,473105037,2/28/2013,1149,109.28
,Cosmetics,Offline,M,3/31/2013,754046475,5/3/2013,7964,437.2
,Fruits,Online,C,3/26/2012,772153747,4/7/2012,6307,9.33
,Snacks,Online,H,12/29/2012,847788178,1/15/2013,8217,152.58
,Cosmetics,Online,H,9/11/2015,471623599,9/18/2015,2758,437.2
,Cosmetics,Online,C,12/27/2013,554646337,1/1/2014,1031,437.2
,Clothes,Online,M,12/17/2013,278155219,1/10/2014,1165,109.28
,Household,Offline,L,3/10/2015,243761575,4/17/2015,3322,668.27
,Household,Offline,L,7/9/2014,223389232,7/18/2014,4693,668.27
,Vegetables,Offline,H,6/14/2017,509274518,6/29/2017,4502,154.06
??,Office Supplies,Online,H,8/10/2011,563966262,8/29/2011,9004,651.21
,Fruits,Online,H,12/18/2015,370325791,2/6/2016,6486,9.33
,Vegetables,Offline,L,6/26/2016,881526935,7/19/2016,2264,154.06
,Beverages,Offline,C,5/11/2015,871056020,5/30/2015,3688,47.45
,Office Supplies,Online,M,1/13/2012,982711875,1/17/2012,5137,651.21
,Beverages,Offline,L,8/10/2014,580605828,8/20/2014,3022,47.45
,Meat,Online,L,4/22/2013,899161708,4/28/2013,786,421.89
,Cosmetics,Offline,M,7/26/2014,993115842,8/20/2014,3902,437.2
,Cereal,Online,C,7/14/2014,887517058,8/20/2014,4875,205.7
,Clothes,Offline,L,6/1/2010,227726686,6/28/2010,8242,109.28
,Vegetables,Online,H,11/4/2011,529418551,11/20/2011,5569,154.06
,Vegetables,Offline,L,5/15/2014,228578984,6/26/2014,456,154.06
,Office Supplies,Offline,L,10/28/2010,531506812,11/23/2010,3532,651.21
,Cosmetics,Offline,L,4/1/2010,464813363,4/8/2010,7458,437.2
,Cereal,Offline,H,5/22/2011,925422465,6/2/2011,1927,205.7
,Meat,Online,L,1/20/2014,630570447,2/15/2014,8663,421.89
,Snacks,Offline,C,5/5/2015,167806136,6/3/2015,6420,152.58
,None,Offline,H,5/25/2013,644990861,6/4/2013,5984,9.33
,Baby Food,Offline,M,3/26/2011,540298449,5/15/2011,5173,255.28
,None,Offline,M,11/30/2012,652215230,1/6/2013,3835,255.28
,None,Offline,M,3/23/2012,949540030,3/26/2012,8851,421.89
,None,Online,L,7/30/2011,121384179,9/12/2011,9131,9.33
,None,Offline,H,8/30/2010,527171504,10/7/2010,618,437.2
,None,Online,C,3/28/2010,546638333,4/28/2010,1285,255.28
,None,Offline,L,12/1/2015,429833495,12/8/2015,6138,81.73
??,None,Offline,L,8/26/2011,947118318,9/8/2011,2212,154.06
,None,Offline,M,7/17/2016,239166629,8/20/2016,3575,47.45
,None,Online,M,11/20/2012,566964757,12/7/2012,6326,109.28
,None,Offline,H,7/23/2010,661811530,9/10/2010,3594,154.06
,None,Online,H,11/29/2012,675318276,12/28/2012,540,109.28
,None,Offline,C,1/7/2013,829408824,2/23/2013,9357,421.89
,None,Online,L,7/31/2012,966319501,8/1/2012,4269,421.89
,None,Online,H,8/1/2010,998599135,9/5/2010,6530,255.28
,None,Offline,C,8/25/2014,459109055,10/13/2014,9427,152.58
,None,Offline,H,7/11/2014,751023089,8/13/2014,3276,255.28
,None,Online,C,3/7/2016,197827565,4/21/2016,428,651.21
,None,Online,C,4/15/2015,793321311,5/9/2015,260,109.28
,None,Online,H,2/24/2016,551615655,3/23/2016,4185,81.73
,None,Online,C,10/11/2012,257134425,10/12/2012,645,152.58
,None,Online,C,5/28/2015,314613950,5/29/2015,114,668.27
,None,Offline,C,5/19/2016,299103057,6/11/2016,96,152.58
,None,Online,L,9/14/2016,305963075,10/11/2016,128,651.21
,None,Offline,M,8/24/2014,500867831,9/2/2014,6777,255.28
,None,Offline,H,2/11/2017,669803655,3/14/2017,8641,81.73
,None,Online,C,2/27/2013,669069373,4/10/2013,1351,651.21
,None,Offline,C,8/9/2015,875276315,8/11/2015,2567,421.89
,None,Online,M,11/3/2011,835348308,11/18/2011,6982,152.58
,None,Offline,M,1/11/2013,616521680,2/22/2013,1320,154.06
,None,Online,H,6/25/2012,356345260,7/31/2012,9336,152.58
,None,Offline,M,2/21/2012,712680375,3/4/2012,6815,47.45
,None,Offline,C,3/23/2011,613700854,4/17/2011,6575,81.73
,None,Online,M,1/4/2010,407893025,2/14/2010,3465,205.7
,None,Online,M,8/23/2013,514055716,9/6/2013,9365,437.2
,None,Offline,L,3/5/2013,971300256,3/20/2013,8185,205.7
,None,Offline,M,2/2/2012,989050471,3/22/2012,868,154.06
,None,Offline,L,12/3/2014,297042691,1/8/2015,388,437.2
,None,Offline,H,12/6/2015,495325744,1/10/2016,6750,109.28
,None,Online,M,6/5/2010,104260957,6/22/2010,1989,205.7
,None,Online,M,9/21/2013,414522159,11/3/2013,5173,421.89
,None,Offline,H,11/28/2011,537095677,1/2/2012,7401,668.27
,None,Online,L,1/22/2011,553280341,1/27/2011,6803,668.27
,None,Offline,C,10/3/2010,164687478,10/31/2010,3539,9.33
,None,Online,H,6/3/2015,943240916,6/19/2015,4803,437.2
,None,Offline,L,5/27/2015,481176984,7/12/2015,9817,47.45
,None,Offline,C,6/19/2013,941044509,7/22/2013,4837,154.06
,None,Online,C,6/14/2013,505704820,6/17/2013,8149,668.27
,None,Offline,L,6/20/2016,128331744,7/15/2016,5070,421.89
,None,Online,H,2/14/2017,382411611,3/13/2017,2948,205.7
,None,Online,H,11/14/2014,111743247,12/10/2014,6165,152.58
,None,Online,L,3/27/2010,480437982,3/30/2010,1130,668.27
,None,Online,H,2/27/2016,922919642,3/27/2016,1286,47.45
,None,Offline,C,5/12/2016,493924558,6/16/2016,2108,651.21
,None,Online,C,7/24/2014,118501555,9/4/2014,6098,154.06
,None,Online,H,7/16/2015,342011964,8/20/2015,7795,651.21
,None,Offline,H,10/11/2013,880129611,11/15/2013,8765,651.21
,None,Online,H,5/28/2012,168840825,6/25/2012,2607,205.7
,None,Online,L,10/30/2011,314444434,12/8/2011,9951,437.2
,None,Offline,M,7/4/2013,343551766,7/8/2013,3457,205.7
,None,Offline,M,3/11/2016,253086650,3/11/2016,2819,651.21
,None,Offline,M,2/14/2012,560285413,2/28/2012,9759,651.21
,None,Offline,M,7/14/2013,952696883,8/8/2013,3034,81.73
,None,Offline,H,1/2/2011,738182389,1/24/2011,3428,255.28
,None,Offline,M,2/13/2015,194915759,3/18/2015,8759,47.45
,None,Online,C,10/19/2014,121383321,10/20/2014,8877,421.89
,None,Offline,C,5/24/2011,486383903,5/31/2011,660,668.27
,None,Offline,C,11/23/2014,879028832,1/6/2015,3020,9.33
,None,Online,H,6/2/2017,958741939,7/14/2017,1900,154.06
,None,Offline,C,2/25/2012,905259549,4/13/2012,5272,81.73
,None,Online,M,4/10/2012,968630492,5/25/2012,8143,668.27
,None,Online,L,11/22/2016,119216096,12/20/2016,7547,9.33
,None,Offline,H,10/23/2014,997690188,11/26/2014,7552,152.58
,None,Offline,H,1/16/2011,465039098,1/26/2011,4258,47.45
,None,Online,C,6/19/2015,852561652,8/2/2015,794,47.45
,None,Offline,H,4/15/2016,511869180,5/18/2016,2320,255.28
,None,Offline,H,2/26/2014,564885509,3/15/2014,1030,81.73
,None,Offline,C,10/7/2010,853846967,11/24/2010,1147,668.27
,None,Offline,M,9/6/2012,391302382,9/18/2012,3925,421.89
,None,Offline,M,5/16/2012,510113084,6/1/2012,2652,152.58
,None,Offline,C,9/29/2014,813452899,11/18/2014,7644,152.58
,None,Online,C,8/11/2010,524808156,8/27/2010,1251,437.2
,None,Online,H,10/15/2010,737977683,10/24/2010,2851,668.27
,None,Online,L,1/5/2012,367072808,2/10/2012,3856,255.28
,None,Online,C,11/14/2015,196517360,12/22/2015,2709,109.28
,None,Offline,M,6/8/2017,631047666,7/3/2017,9882,421.89
,None,Offline,L,8/23/2016,345712554,10/5/2016,2882,668.27
,None,Online,C,6/28/2014,335873353,8/16/2014,1244,81.73
,None,Offline,C,10/25/2016,767203891,12/6/2016,1535,668.27
,None,Offline,M,5/23/2015,525690495,6/24/2015,2354,255.28
,None,Online,M,5/26/2014,367631995,6/13/2014,9332,109.28
,None,Online,H,7/12/2011,669639718,7/25/2011,128,255.28
,None,Online,H,11/17/2016,978637492,12/4/2016,9436,109.28
,None,Online,C,5/2/2011,461861646,6/16/2011,3979,109.28
